hidden_size,blocks,n_train,lr,min_val_loss
16.0,12.0,500.0,0.01,-1.3836233019828796
16.0,12.0,500.0,0.02,-1.6234326362609863
16.0,18.0,500.0,0.01,-1.6819181442260742
16.0,18.0,500.0,0.02,-1.4351633191108704
24.0,12.0,500.0,0.01,-1.298344612121582
24.0,12.0,500.0,0.02,-1.5334655046463013
24.0,18.0,500.0,0.01,-1.6447737216949463
24.0,18.0,500.0,0.02,-1.0883353352546692
